DateTimeOccurred,Status,DateTimeReported,Code,Location,Comments,Filename
2013-11-27 09:15:00,UNFOUNDED,2013-11-30 09:15:02,STOLEN VEHICLE,WESTGATE LOT / 319 VASSAR ST,RESPOND TO WESTGATE AND SPOKE WITH A PARTY REGARDING A STOLEN MOTOR VEHICLE. VEHICLE NOT STOLEN REPOSSED. ,
2013-11-30 13:15:00,CLOSED,2013-11-30 15:50:29,LARCENY,M13 / 105 REAR   MASSACHUSETTS AVE,LARCENY OF CELL PHONE REPORT BLDG. REPORT   TAKEN. ,
2013-12-01 10:24:00,CLOSED,2013-12-01 10:24:35,RC&I,W20 / 84 MASSACHUSETTS AVE,SUBJECT STOP ON THE THRID FLOOR OF W20   TRESPASS WARNING ISSUED. ,
2013-12-01 18:30:00,CLOSED,2013-12-01 18:41:20,RC&I,M3 / 33 MASSACHUSETTS AVE,STOPPING TWO SUBJECTS IN BASEMENT AREA.   BOTH SUBJECTS TRESPASSED FROM MIT. ,
2013-12-01 18:40:00,ARREST MADE,2013-12-01 18:54:04,RC&I,M1 / 33 MASSACHUSETTS AVE,"CHECK OF PERSON IN A CLASSROOM, DISCOVERED PERSON WHO HAD BEEN PREVIOUSL TRESPASSED. KIM, WOISOON, (52),  863 MASSACHUSETTS AVE., APT 51, CAMBRIDGE, MA ",
2013-12-01 21:11:00,CLOSED,2013-12-01 21:11:35,RC&I,W20 / 84 MASSACHUSETTS AVE FL,3RD PERSON ON THIRD FLOOR WITH NO AFFILIATION.   ISSUED TRESPASS WARNING. ,
2014-01-15 23:00:00,OPEN,2014-01-17 00:04:23,LARCENY,W61 / 450 MEMORIAL DR,LARCENY OF A WALLET AND A COMPUTER TABLET. REPORT TAKEN. ,
2014-01-17 13:40:00,CLOSED,2014-01-17 13:58:37,UNWANTED PERSONS,M14 / 160 MEMORIAL DR,UNITS RESPOND TO HAYDEN LIBRARY FOR UNWANTED PARTY ASLEEP IN AREA. ISSUED TRESPASS WARNING. ,
2014-01-15 10:00:00,OPEN,2014-01-17 16:18:29,LARCENY,W70 / 471 MEMORIAL DR,PAST LARCENY OF LAPTOP AND CASH. ,
2014-01-14 11:00:00,CLOSED,2014-01-17 16:43:04,LARCENY,W20 / 84 MASSACHUSETTS AVE,LARCENY OF A BIKE AT W20. ,
2014-01-17 10:00:00,CLOSED,2014-01-18 02:21:44,HIT & RUN,M41 / 77 VASSAR ST,PARTY REPORTED HIS VEHICLE WAS DAMAGED WHILE PARKED IN THE PAYLOT. ,
2014-01-18 09:01:00,CLOSED,2014-01-18 09:01:53,RC&I,M10 / 122 MEMORIAL DR,OFFICERS CHECK ON HOMELESS PERSONS IN AREA. ISSUED TRESPASS WARNINGS. ,
2014-01-18 09:02:00,CLOSED,2014-01-18 09:02:40,RC&I,E23 / 25 CARLTON ST,"REPORT OF SUSPCIOUS PERSON, DISCOVERED TO BE AN EMPLOYEE. ",
2014-01-19 02:36:00,CLOSED,2014-01-19 02:36:11,AC/MV,M1 / 33 MEMORIAL DRIVE,MASSACHUSETTS AVE MOTOR VEHICLE ACCIDENT AT INTERSECTION OF MASS AVE AND  . ACCIDENT INVOLVING MIT SAFERIDE VAN AND TAXI. MA STATE POLICE INVESTIGATING. ,
2014-01-19 19:22:00,CLOSED,2014-01-19 19:22:27,RC&I,MASSACHUSETTS AVE & VASSAR ST,RC&I OF MV AT MASS AVE AND VASSAR STREET. VEHICLE RAN RED LIGHT ALMOST CAUSED AN ACCIDENT. ,
2013-11-29 14:00:00,OPEN,2014-01-20 13:32:26,HARASS,M62 / AMES ST,TAKE REPORT OF HARASSING TEXT MESSAGES ,
2014-01-18 09:49:00,CLOSED,2014-01-21 09:49:16,LARCENY,M46 / 46 VASSAR ST,REPORT TAKEN FOR TWO LARGE STUFFED  ANAMIALS THAT WERE STOLEN. ,
2014-01-22 14:19:00,CLOSED,2014-01-22 14:19:26,RC&I,W79 / 229 VASSAR ST,VEHICLE DRIVING WITH SNOW COVERING ALL WINDOWS ALMOST STRUCK CRUISER. ADVISED TO REMOVE ALL SNOW FROM VEHICLE. ,
2014-01-22 16:00:00,OPEN,2014-01-22 20:26:21,LARCENY,E14 / 75 AMHERST ST,LARCENY OF A LAPTOP ,
2014-01-22 22:05:00,CLOSED,2014-01-22 22:05:24,DISOPERS,W20 / 84 MASSACHUSETTS AVE,REPORT OF AN UNRULY PERSON TRYING TO GET   ON BUS. SITUATION RESOLVED. ,
2014-01-23 08:40:00,ARREST,2014-01-23 08:53:06,HOMELESS,M37 / 70 VASSAR ST,"SECTOR OFFICER AND EAST CAR CHECK ON HOMELESS PERSON IN AREA SLEEPING IN STAIRWELL 1ST FLR BLDG 37.  AUGUST LINZEL (55), 240 ALBANY ST., CAMBRIDGE, MA.  ARRESTED FOR TRESPASS. ",
2014-01-23 10:52:00,CLOSED,2014-01-23 10:52:14,RC&I,W20 / 84 MASSACHUSETTS AVE,SECTOR OFFICER OFF ON FIELD STOP OF PERSON. ISSUED   TRESPASS WARNING. ,
2014-01-21 17:48:00,OPEN,2014-01-24 20:39:13,THREATS,M10 / 122 MEMORIAL DR,REPORTS HARASSING TEXT MESSAGE ,
2014-01-25 00:09:00,CLOSED,2014-01-25 00:09:27,DISTURBANCE,E55 / 60 WADSWORTH ST,LOUD VOICES CAUSING A DISTUBANCE COMING FROM EASTGATE APT. LOUD ARGUMENT BETWEEN PEOPLE NOT A DOMESTIC DISTURBANCE. ,
2014-01-25 08:45:00,CLOSED,2014-01-25 08:45:26,RC&I,W20 / 84 MASSACHUSETTS AVE,"SECTOR OFFICER STOP OF PERSON IN W20, 3ND FLOOR. ESCORTED PERSON OFF PROPERTY WITH TRESPASS WARNING. ",
2014-01-25 18:23:00,CLOSED,2014-01-25 18:23:07,CHEMICAL SPILL,M76 / 476 MAIN ST,"CHEMICAL SPILL NOTIFIED CAMBRIDGE FIRE, MIT FACILITIES, MIT EHS, ALL MIT POLICE UNITS.  ALL CLEAR GIVEN BY CAMBRIDGE FIRE ",
2014-01-27 16:20:00,CLOSED,2014-01-27 16:20:36,RC&I,W20 / 84 MASSACHUSETTS AVE,OFFICERS CHECK ON A HOMELESS PERSON SLEEPING. REMOVED AND ISSUED TRESPASS WARNING. ,
2014-01-15 12:00:00,CLOSED,2014-01-28 12:48:55,LARCENY,M66 / 25 AMES ST ,LARCENY OF A FAN .0 ,
2014-01-29 08:34:00,CLOSED,2014-01-29 08:34:57,SUSPICIOUS,M24 / 60 VASSAR ST,A REPORT OF PEOPLE SLEEPING IN THE AREA. PERSONS  LEFT AREA WHEN REPORTING PERSON ARRIVED IN THE ROOM. ,
2014-01-29 21:32:00,CLOSED,2014-01-29 21:32:51,DISTURBANCE,286VASSAR STREET,REPORT OF LOUD YELLING FROM OCCUPANTS OF AN APARTMENT. NOT A DOMESTIC; LOUD ARGUMENT. ,
2014-01-30 18:15:00,OPEN,2014-01-31 08:17:51,LARCENY,W20 / 84 MASSACHUSETTS AVE,REPORT THAT A BACKPACK LEFT ON THE SECOND FLOOR LOUNGE FOR A MINUTE WAS DISCOVERED STOLEN. INSIDE WAS HER LAPTOP AND OTHER PERSONAL ITEMS. ,
2014-01-31 13:00:00,OPEN,2014-01-31 14:15:47,THREATS,NW12 / 138 ALBANY ST,CALLER REPORTS HE RECEIVED A THREATENING LETTER. ,
2014-01-27 12:00:00,OPEN,2014-01-31 17:32:46,HARASS,W89 / 301 VASSAR ST,R/P REQUESTS TO SPEAK TO AN OFFICER REGARDING BEING HARASSED. BOSTON 5 DISPATCHED TO SPEAK WITH PARTY. FACULTY COMES INTO STATION REPORTING HARASSMENT. OFFICER TAKES REPORT. ,
2014-02-01 16:12:00,CLOSED,2014-02-01 16:12:51,RC&I,NW12 / 138 ALBANY ST,"HOMELSESS PERSON IN ALLEY WAY, SENT ON HIS WAY AND TRESPASSED BY SERGEANT ",
2014-02-02 09:49:00,CLOSED,2014-02-02 09:49:44,RC&I,W51 / 410 MEMORIAL DR,RESPONDED TO A REPORT OF A SUSPICIOUS PERSON AT LOADING DOCK. REPORTS PERSON COLECTING JUNK. ISSUED TRESPASS WARNING. ,
2014-02-02 10:28:00,CLOSED,2014-02-02 10:28:03,RC&I,M3 / 33 MASSACHUSETTS AVE,"RESPOND TO SUSPICIOUS PERSON REPORT, ISSUED   TRESPASS WARNING. ",
2014-02-03 22:21:00,ARREST MADE,2014-02-03 22:21:25,DISORDERLY CONDUCT,M10 / 122 MEMORIAL DR,"DOUGLAS HERR (42), 146 LEISURE LANE, CHATHAM,  IL. ARRESTED FOR DISORDERLY CONDUCT, TRESSPASSING AND RESISTING ARREST. ",
2014-02-03 22:41:00,CLOSED,2014-02-04 09:48:49,SUSPICIOUS,M3 / 33 MASSACHUSETTS AVE,PHONE   CALL     NO REPORTS OF RESIDENTIAL FIRES .0   VOICE MAIL MESSAGE OF A PERSON DISSATISFIED   WITH AMERICAN SCHOOL SYSTEM. NO THREATS. ,
2014-02-04 14:00:00,ARREST,2014-02-04 14:18:16,WARRANT SERVICE,W79 / 229 VASSAR ST,"INDIVIDUAL ARRESTED ON AN OUTSTANDING WARRANT. TYRONE L. PINKNEY (34), 1366 BROADWAY, SOMERVILLE, MA ",
2014-01-27 09:00:00,CLOSED,2014-02-04 15:38:18,SUSPICIOUS ACTIVITY,M3 / 33 MASSACHUSETTS AVE,"SUSPICIOUS GRAFFITI ON DOOR, DISCOVERED TO   BE OLD STRATCH MARKS. ",
2014-02-03 10:00:00,CLOSED,2014-02-05 15:30:28,RC&I,M10 / 122 MEMORIAL DR,REPORT OF A MALE “ACTING STRANGE”. OFFICERS LOCATED A MALE WHO HAS NO AFFILIATION WITH MIT. ISSUED TRESPASS WARNING. ,
2014-02-05 18:00:00,CLOSED,2014-02-06 20:12:17,LARCENY,W20 / 84 MASSACHUSETTS AVE,LARCENY OF CELL PHONE. ,
2014-02-06 22:00:00,CLOSED,2014-02-06 22:05:10,UNWANTED PERSONS,W31 / 120 MASSACHUSETTS AVE,"NON-AFFILIATES USING THE BASKETBALL COURT AT THE REQUEST OF THE ATHLETIC DEPARTMENT, REMOVED. ",
2014-02-07 01:56:00,REFERRED,2014-02-07 01:56:07,ASSIST TO PD,WILG / 355 MASSACHUSETTS AVE,"CAMBRIDGE POLICE REQUEST MIT POLICE UNIT TO RESPOND TO CENTRAL SQUARE BY SALVATION ARMY, UNITS RESPOND AND SPOKE WITH TWO INTOXICATED STUDENTS. ",
2014-02-08 05:45:00,OPEN,2014-02-08 05:45:10,SUSPICIOUS,NW35 / 235 ALBANY ST,"PARTY STOPPED WHO MIGHT HAVE AN UNAUTHORIZED KEY, ISSUED TRESPASS WARNING. ",
2014-02-08 16:26:00,CLOSED,2014-02-08 16:26:39,SUSPICIOUS,M3 / 33 MASSACHUSETTS AVE,"REPORT OF SUSPICIOUS PERSON, INDIVIDUAL   CHECKED OUT OK. ",
2014-02-08 17:02:00,CLOSED,2014-02-08 17:02:05,LARCENY,W34 / 120 VASSAR ST,REPORTS HAVING HIS PHONE STOLEN WHILE COMPETING IN TRACK MEET AT Z-CENTER. ,
2014-02-09 09:30:00,CLOSED,2014-02-09 09:40:01,RC&I,M26 / 60 VASSAR ST,OF WITH A SUSPICIOUSE PERSON IN THE AREA. PARTY WAS GIVEN A VERAL TRESPASSING TO STAY AWAY FROM MIT. ,
2014-02-08 22:00:00,OPEN,2014-02-10 09:18:42,LARCENY,W71 / 500 MEMORIAL DR,VICTIM REPORTS HIS WALLET WAS STOLEN WHILE LEFT UNATTENDED IN UNLOCKED ROOM. ,
2013-12-02 12:05:00,CLOSED,2014-02-10 09:22:37,LARCENY,W20 / 84 MASSACHUSETTS AVE,STRING BACKPACT CONTAINING A CAMERA AND OTHER   ITEMS WAS STOLEN WHEN LEFT UNATTENDED. ,
2014-02-10 10:38:00,OPEN,2014-02-10 10:38:10,SUSPICIOUS,W61 / 450 MEMORIAL DR,LOCKS TAMPERED WITH ,
2014-01-27 16:57:00,OPEN,2014-02-10 16:09:44,SUSPICIOUS,E40 / 1 AMHERST ST,LOCKS TAMPERED WITH. ,
2014-02-10 21:49:00,ARREST,2014-02-10 21:49:44,TRESPASS,M54 / 21 AMES ST FL 9TH,"OFFICERS ARREST AARON MALERBA, (24), 81 GERSHOM AVE, LOWELL, MA ARRESTED FOR TRESPASSING ",
2014-02-10 23:46:00,ARREST,2014-02-10 23:46:45,HOMELESS,M1 / 33 MASSACHUSETTS AVE,"REPORT OF A HOMELESS PERSON SLEEPING ON THE DESK. SECTOR 3 RESPONDING. TIMOTHY NORLING, (55), 28 PRESCOTT ST., CAMBRIDGE, MA WAS TAKEN INTO CUSTODY ON AN OUTSTANDING WARRANT. ",
2014-02-09 04:00:00,OPEN,2014-02-11 16:27:36,BURGLARY,W51 / 410 MEMORIAL DR,PARTY REPORTS ROOM DOOR CLOSED BUT NOT  LOCKED LARCENY OF LAPTOP COMPUTER. ,
2014-02-09 04:00:00,OPEN,2014-02-11 16:44:48,BURGLARY,W51 / 410 MEMORIAL DR,"PARTY REPORTS ROOM DOOR CLOSED BUT NOT  LOCKED, I-PAD AND PERFUME STOLEN. ",
2011-02-10 00:00:00,CLOSED,2014-02-12 14:47:22,CONFIDENTIAL SEXUAL ASSAULT REPORT,E23 / 25 CARLTON ST,RECEIVED AN ANONYMOUS/CONFIDENTIAL SEXUAL  ASSAULT REPORT THAT OCCURRED IN AN UNSPECIFIED DORMITORY. ,
2014-02-11 10:00:00,OPEN,2014-02-12 19:56:36,BURGLARY,W51 / 410 MEMORIAL DR,"VICTIM REPORTS ROOM DOOR CLOSED BUT LEFT UNLOCKED AND LAPTOP, CHECKBOOK AND OTHER ITEMS ARE MISSING. ",
2014-02-13 00:18:00,CLOSED,2014-02-13 00:18:56,SUSPICIOUS,W20 / 84 MASSACHUSETTS AVE,REPORTS A SUSPICIOUS MALE IN THE ATHENA CLUSTER AREA WHOS ACTING VERY SUSPICIOUS. INDIVIDUAL ID WHO HAS NO AFFILIATION WITH MIT. ISSUED TRESPASS WARNING AND SENT ON HIS WAY. ,
2014-02-13 03:17:00,CLOSED,2014-02-13 03:17:08,STUDENT PROBLEM,W51 / 410 MEMORIAL DR,REPORTS OF HEARING A MALE AND A FEMALE YELLING AND SCREAMING AND THROWING FURNITURE AROUND THE ROOM. UNITS RESPONDING AND BOTH PARTIES FINE ONLY “A LOUD ARGUMENT”. ,
2014-02-13 08:06:00,CLOSED,2014-02-13 08:06:00,HOMELESS,M12 / 60 REAR VASSAR ST,HOMELESS PERSON FOUND SLEEPING. ISSUED TRESPASS WARNING AND SENT ON HIS WAY ,
2014-02-13 12:00:00,OPEN,2014-02-13 16:17:05,BURGLARY,W71 / 500 MEMORIAL DR,PARTY REPORTS DOOR UNLOCKED AND CAMERA STOLEN ,
2014-02-13 10:30:00,OPEN,2014-02-13 16:19:41,BURGLARY,W71 / 500 MEMORIAL DR,PARTY REPORTS DOOR UNLOCKED AND E-READER STOLEN. ,
2014-02-14 21:02:00,ARREST,2014-02-14 21:02:21,RC&I,M12 / 60 REAR VASSAR ST,"ARREST OF JOHN DOHERTY, (26), 50 QUINCY ST., CAMBRIDGE, MA. FOR TRESPASSING AFTER NOTICE ",
2014-02-14 21:14:00,ARREST,2014-02-14 21:14:19,RC&I,M12 / 60 REAR VASSAR ST,"ARREST OF CARL ZIMBA, (62)  84 OXFORD ST., ARLINGTON, MA FOR TRESPASSING AFTER NOTICE. ",
2014-02-12 08:00:00,OPEN,2014-02-14 21:34:01,BURGLARY,W71 / 500 MEMORIAL DR,HEAD PHONES AND WRIST WATCH STOLEN FROM UNLOCKED ROOM. ,
2014-02-15 23:30:00,REFERRED,2014-02-16 00:13:43,ASSIST TO PD,MASS AVE BRIDGE,UNITS ASSIST MASSACHUSETTS STATE POLICE WITH PEOPLE ON CHARLES RIVER ICE. CLOSED ,
2014-02-16 18:00:00,ARREST,2014-02-16 18:03:53,TRESPASS,M14 / 160 MEMORIAL DR,"STEPHEN WEINBERG, (66) NO KNOWN ADDRESS, ARRESTED FOR TRESPASS AFTER NOTICE ",
2014-02-17 08:30:00,OPEN,2014-02-17 17:49:26,BREAKING & ENTERING MV,NW30 / 224 ALBANY ST,"VEHICLE PARKED ALONG RR TRACKS, WINDOW WAS SMASHED AND GPS, WALLET, AND OTHER ITEMS STOLEN ",
2014-09-01 00:00:00,REFERRED,2014-09-01 00:02:15,ALCOHOL,LCA / 99 BAY STATE RD,REPORT OF INTOXICATED PERSON FALLING FROM WINDOW. ,
2014-01-02 00:59:00,OPEN,2014-09-02 00:59:11,STALKING,100 MEMORIAL DR,PARTY REPORTS ONGOING HARASSING/STALKING . ,
2014-09-02 09:32:00,CLOSED,2014-09-02 09:32:06,RC&I,W20 / 84 MASSACHUSETTS AVE,UNWANTED PERSON ISSUED TRESPASS WARNING. ,
2014-08-29 17:00:00,OPEN,2014-09-03 12:32:11,LARCENY,M32 / 32 VASSAR ST,LARCENY OF A MAIL BOX ,
2014-05-30 12:00:00,CLOSED,2014-09-03 19:55:12,LARCENY,E53 / 30 WADSWORTH ST,LARCENY OF AN UNLOCKED BICYCLE ,
2014-09-03 19:00:00,OPEN,2014-09-03 20:42:35,LARCENY,W70 / 471 MEMORIAL DR,LARCENY OF WALLET. ,
2014-09-04 12:48:00,OPEN,2014-09-04 12:54:49,SHOPLIFTING,KENDALL SQUARE / 1 MAIN ST,MIT COOP REPORTS TWO SHOPLIFTERS  ,
2014-09-04 16:50:00,OPEN,2014-09-04 18:06:47,LARCENY,M6 / 182 MEMORIAL DR,LARCENY OF COMPUTER AND CELL PHONE FROM OFFICE. ,
2014-09-05 20:25:00,CLOSED,2014-09-05 20:30:17,SUSPICIOUS,W51 / 410 MEMORIAL DR,REPORT OF A SUSPICIOUS PERSON ASKING PEOPLE TO PLAY BASKETBALL. PERSON WAS NOT AFFILIATED AND WAS ESCORTED TO HIS CAREGIVERS. ,
2014-09-06 00:23:00,CLOSED,2014-09-06 00:23:17,ASSIST TO PD,CHARLESGATE STREET ,REPORT OF TWO INDIVIDUALS HAD JUMPED INTO CHARLES RIVER AND REQUESTING ASSISTANCE. MA STATE POLICE ,
2014-09-06 09:09:00,CLOSED,2014-09-06 09:09:28,RC&I,W91 / 570 MEMORIAL DR,RC&I OF MOTORIST. ,
2014-09-06 15:40:00,CLOSED,2014-09-06 15:40:51,RC&I,W45 / 125 VASSAR ST,UNRULY MOTORIST. ,
2014-09-06 19:00:00,CLOSED,2014-09-06 22:53:31,HIT & RUN,AMHERST & DANFORTH / 0 AMHERST ST,R/P REPORTING THAT SOMEONE STRUCK HER VEHICLE WHILE PARKED AT THE CORNER OF AMHERST AND DANFORTH STREET. SECTOR 4 OFFICER NOTIFY. ,
2014-09-07 12:00:00,CLOSED,2014-09-07 19:46:33,SUSPICIOUS,W7 / 362 MEMORIAL DR,REPORT OF A SUSPICIOUS PERSON. PERSON ISSUED A TRESPASS WARNING. ,
2014-09-05 15:00:00,CLOSED,2014-09-08 12:51:52,LARCENY,M76 / 476 MAIN ST,WEST CAR TAKES REPORT FOR STOLEN BIKE WHEEL  BLDG 76 BASEMENT BIKE RACK ,
